"","tweets.text","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","score"
"1","This weeks comes from our Torontobased Design Supervisor whos GoT a real passion fo ",0,1,0,0,1,0,0,2,0.75
"2"," Game of Thrones  The Musical feat Jon SnowRamsay Snow Tyrion Lannis via ",1,2,0,0,2,1,2,1,1.1
"3","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"4","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"5","RT Look What You Made Me Do is literally Arya Starks kill list King of My Heart was influenced by Khal Drogo and Daenerys ",0,0,0,1,0,1,0,0,-0.65
"6","RT Ive watched the ending of episode  of GOT a good  times and it never gets old This might be the greatest TV Series",0,1,0,0,1,0,1,2,1.25
"7","LOOK WHAT I HAVE ",0,0,0,0,0,0,0,0,0
"8","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"9","RT My latest for on how really messed up its female characters in the latest episode I hope the n",0,1,0,0,1,0,1,1,0.4
"10","After last weeks coffee cup drama what anachronism would you like to see in episode  ",0,0,0,0,0,0,0,0,0.25
"11","RT Great Show Tonight Emma Thompson is here and we get to the bottom of the Starbucks cup with Plu",0,0,0,0,0,1,0,1,0.5
"12","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"13","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"14","RT Come along to our very special Game Of Thrones Charity Pub Quiz at our Stables Pub on Wednesday th  June  at pm",0,0,0,0,2,0,0,0,1.35
"15","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"16","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"17","Between Stucky and Braime things are tough rn ",0,0,0,0,0,1,0,0,0.25
"18","RT best behindthescenes photos taken by the cast",0,0,0,0,0,0,0,0,0.5
"19","RT Guys Imagine after all is said and done next week ends with young Bran waking up from his Season  coma an",0,1,1,1,1,1,1,0,-0.6
"20","The most hated men in the world right now ",0,0,0,0,0,0,0,0,0.3
"21","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"22","They also lack imagination which Id be remiss to lament upon considering how much time I spent in Mr Rogers nei ",1,1,2,1,0,2,0,0,-2.55
"23","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"24","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"25","RT Hes still alive  ",0,1,0,0,1,0,0,1,0.5
"26","RT  Hulu accounts available paid for and everything dm me ",0,0,0,0,0,0,0,1,0.8
"27","Its Friday were  days away from the episode of which is traditionally the best epi ",0,0,0,0,0,0,0,0,0.5
"28","RT Been thinking about in wake of upcoming finale of how book franchises with really deepdiving hardcore",0,0,0,0,0,0,0,0,0.4
"29","RT If you have any last words now is the time",1,1,0,0,0,0,0,0,0
"30","RT If you have any last words now is the time",1,1,0,0,0,0,0,0,0
"31","RT This episode was so bad  ",1,0,1,1,0,1,0,0,-0.75
"32","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"33","RT The Last of the Starks is second lowest rated episode of everNo matter the scores of the final two",0,0,0,0,0,1,0,0,-0.5
"34","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"35","RT When I heard Daenerys says Dacarys tonight ",0,0,0,0,0,0,0,0,0
"36","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"37","I think this is brilliant ",0,1,0,0,1,0,0,1,1
"38","RT Exclusive interview with the from ",0,0,0,0,0,0,0,0,0
"39","RT Daenerys to Jon Dont tell anyone youre a Targaryen Jon to Arya amp Sansa Dont tell anyone Im a Tar",0,0,0,0,0,0,0,0,0
"40","RT When Euron tells you hes going to be a dad ",0,0,0,0,0,0,0,0,0
"41","RT Exclusive new footage leaks from SE of ",0,0,0,0,0,0,0,0,0.3
"42","RT One of my favourite things about is how new villains evolve over years ",0,0,0,0,0,0,0,0,-0.2
"43","RT Guys Imagine after all is said and done next week ends with young Bran waking up from his Season  coma an",0,1,1,1,1,1,1,0,-0.6
"44","Just realized Dario is Steve from ",0,0,0,0,0,0,0,0,0
"45","Cont wait ",0,1,0,0,0,0,0,0,-0.25
"46","RT If you are feeling sorry for the people of Kings Landing just remember they rooted for Eddard Starks execution ",2,1,1,2,1,2,1,3,-1.25
"47","CAN WE TALK instagram feed ",0,0,0,0,0,0,0,0,0.4
"48","LOL the actors dont care anymore This is what Euron is saying about DampDs shit vision ",1,1,1,0,0,0,0,0,0.75
"49","RT If you have any last words now is the time",1,1,0,0,0,0,0,0,0
"50","Am I the only one that thinks there are actually  episodes of this season and the twist is they arent telling us ",0,0,0,0,0,0,0,0,0
"51","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
"52","RT Grey Worm is that you cc ",0,1,0,0,0,0,1,0,-0.25
"53","RT Tormund with short term memory  ",0,0,0,0,0,0,0,0,0
"54","RT RT if you think Im gonna go MadQueen this weekend ",0,0,0,0,0,0,0,0,0
